Information;09.09.2016 12:21:24;Service Control Manager;7036;None
Information;09.09.2016 12:15:41;Service Control Manager;7036;None
Information;09.09.2016 12:03:20;Service Control Manager;7036;None
Information;09.09.2016 12:01:20;Service Control Manager;7036;None
Information;09.09.2016 12:00:35;EventLog;6013;None
Information;09.09.2016 11:59:00;Service Control Manager;7036;None
Information;09.09.2016 11:59:00;Service Control Manager;7036;None
Information;09.09.2016 11:52:46;Service Control Manager;7036;None
Information;09.09.2016 11:48:34;Service Control Manager;7036;None
Information;09.09.2016 11:37:51;Service Control Manager;7036;None
Information;09.09.2016 11:33:53;Service Control Manager;7036;None
Information;09.09.2016 11:26:17;Service Control Manager;7036;None
Information;09.09.2016 11:24:20;Service Control Manager;7036;None
Information;09.09.2016 11:19:08;Service Control Manager;7036;None
Information;09.09.2016 11:19:02;Service Control Manager;7036;None
Information;09.09.2016 11:15:29;Service Control Manager;7036;None
Information;09.09.2016 11:09:55;Service Control Manager;7036;None
Information;09.09.2016 10:59:00;Service Control Manager;7036;None
Information;09.09.2016 10:59:00;Service Control Manager;7036;None
Information;09.09.2016 10:46:26;Service Control Manager;7036;None
Information;09.09.2016 10:42:54;Service Control Manager;7036;None
Information;09.09.2016 10:37:53;Service Control Manager;7036;None
Information;09.09.2016 10:36:49;Service Control Manager;7036;None
Information;09.09.2016 10:36:26;Service Control Manager;7036;None
Information;09.09.2016 10:31:48;Service Control Manager;7036;None
Information;09.09.2016 10:24:15;Service Control Manager;7036;None
Information;09.09.2016 10:19:13;Service Control Manager;7036;None
Information;09.09.2016 10:17:35;Service Control Manager;7036;None
Information;09.09.2016 10:13:46;Service Control Manager;7036;None
Information;09.09.2016 10:05:16;Service Control Manager;7036;None
Information;09.09.2016 10:04:09;Service Control Manager;7036;None
Information;09.09.2016 09:59:00;Service Control Manager;7036;None
Information;09.09.2016 09:59:00;Service Control Manager;7036;None
Information;09.09.2016 09:57:40;Service Control Manager;7036;None
Information;09.09.2016 09:52:45;Service Control Manager;7036;None
Warning;09.09.2016 09:48:07;WindowsUpdateClient;16;Automatic Updates
Information;09.09.2016 09:46:32;Service Control Manager;7036;None
Information;09.09.2016 09:46:19;Service Control Manager;7036;None
Information;09.09.2016 09:44:49;Service Control Manager;7036;None
Information;09.09.2016 09:38:17;Service Control Manager;7036;None
Information;09.09.2016 09:28:21;Service Control Manager;7036;None
Information;09.09.2016 09:24:14;Service Control Manager;7036;None
Information;09.09.2016 09:16:48;Service Control Manager;7036;None
Information;09.09.2016 09:08:36;Service Control Manager;7036;None
Information;09.09.2016 09:06:36;Service Control Manager;7036;None
Information;09.09.2016 09:06:10;Service Control Manager;7036;None
Information;09.09.2016 09:04:58;Service Control Manager;7036;None
Information;09.09.2016 08:59:32;Service Control Manager;7036;None
Information;09.09.2016 08:59:00;Service Control Manager;7036;None
Information;09.09.2016 08:59:00;Service Control Manager;7036;None
Information;09.09.2016 08:49:32;Service Control Manager;7036;None
Information;09.09.2016 08:48:23;Service Control Manager;7036;None
Information;09.09.2016 08:43:46;Service Control Manager;7036;None
Information;09.09.2016 08:43:16;Service Control Manager;7036;None
Information;09.09.2016 08:37:49;Service Control Manager;7036;None
Information;09.09.2016 08:33:47;Service Control Manager;7036;None
Information;09.09.2016 08:33:20;Service Control Manager;7036;None
Error;09.09.2016 08:29:15;Microsoft Antimalware;2001;None
Error;09.09.2016 08:28:49;Microsoft Antimalware;2001;None
Error;09.09.2016 08:28:49;Microsoft Antimalware;2001;None
Error;09.09.2016 08:28:24;Microsoft Antimalware;2001;None
Information;09.09.2016 08:18:49;Service Control Manager;7036;None
Information;09.09.2016 08:17:38;Service Control Manager;7036;None
Information;09.09.2016 08:12:37;Service Control Manager;7036;None
Information;09.09.2016 08:07:14;Service Control Manager;7036;None
Information;09.09.2016 08:04:49;Service Control Manager;7036;None
Information;09.09.2016 08:04:35;EventLog;6013;None
Warning;09.09.2016 08:04:29;DNS Client Events;1014;None
Information;09.09.2016 08:04:17;Power-Troubleshooter;1;None
Information;09.09.2016 08:04:17;Service Control Manager;7036;None
Information;09.09.2016 08:04:16;e1cexpress;32;None
Information;09.09.2016 08:04:14;MEIx64;2;None
Information;09.09.2016 08:04:14;Service Control Manager;7036;None
Information;09.09.2016 08:04:14;Service Control Manager;7036;None
Warning;09.09.2016 08:04:13;e1cexpress;27;None
Information;09.09.2016 08:04:13;Service Control Manager;7036;None
Information;09.09.2016 08:04:13;Service Control Manager;7036;None
Information;09.09.2016 08:04:13;Service Control Manager;7036;None
Information;09.09.2016 08:04:13;Kernel-General;1;None
Information;07.09.2016 18:00:36;Service Control Manager;7036;None
Information;07.09.2016 18:00:36;Service Control Manager;7042;None
Information;07.09.2016 18:00:35;Kernel-Power;42;(64)
Information;07.09.2016 18:00:35;Service Control Manager;7036;None
Information;07.09.2016 17:59:00;Service Control Manager;7036;None
Information;07.09.2016 17:59:00;Service Control Manager;7036;None
Information;07.09.2016 17:57:14;Service Control Manager;7036;None
Information;07.09.2016 17:56:48;Service Control Manager;7036;None
Information;07.09.2016 17:56:47;Service Control Manager;7036;None
Information;07.09.2016 17:55:50;Service Control Manager;7036;None
Information;07.09.2016 17:55:14;Service Control Manager;7036;None
Information;07.09.2016 17:43:02;Service Control Manager;7036;None
Information;07.09.2016 17:39:44;Service Control Manager;7036;None
Information;07.09.2016 17:37:44;Service Control Manager;7036;None
Information;07.09.2016 17:25:32;Service Control Manager;7036;None
Information;07.09.2016 17:18:42;Service Control Manager;7036;None
Information;07.09.2016 17:13:41;Service Control Manager;7036;None
Information;07.09.2016 17:13:24;Service Control Manager;7036;None
Information;07.09.2016 17:11:24;Service Control Manager;7036;None
Information;07.09.2016 17:10:24;Service Control Manager;7036;None
Information;07.09.2016 17:08:24;Service Control Manager;7036;None
Information;07.09.2016 17:05:17;Service Control Manager;7036;None
Information;07.09.2016 17:00:11;Service Control Manager;7036;None
Information;07.09.2016 16:59:00;Service Control Manager;7036;None
Information;07.09.2016 16:59:00;Service Control Manager;7036;None
